COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Jefferson County,OR ,High,97.8,62.5,66.7,71.3,72.9,84.6
Josephine County,OR ,Mod-High,97.8,49.7,52.4,56.2,58.3,74.5
Klamath County,OR ,High,97.8,50.2,53.5,57.8,60,78.5
Lake County,OR ,High,97.8,39.3,41.3,44.5,46.9,68.2
Lane County,OR ,Mod-High,97.8,67,70.3,74.5,75.5,90.9
Lincoln County,OR ,Mod-High,97.8,70.3,73.3,76.7,77.8,88.4
Linn County,OR ,Mod-High,97.8,55,58.5,63,65.4,83.7
Malheur County,OR ,High,97.8,47.5,51,56.3,58.8,86.2
Marion County,OR ,High,97.8,62.3,66.7,71.8,73.4,88.1
Morrow County,OR ,High,97.8,55.3,59.7,66,68.7,75.6
Multnomah County,OR ,Low-Mod,97.8,78.4,82.6,85.6,86.1,95
Polk County,OR ,Mod-High,97.8,62.9,66.5,71,72.6,87.9
Sherman County,OR ,Low,97.8,57.4,60.4,64.4,67.2,80.4
Tillamook County,OR ,Mod-High,97.8,64.1,67.2,71.5,73.4,88.5
Umatilla County,OR ,High,97.8,55.1,58.8,64.4,66.5,83.6
Union County,OR ,Mod-High,97.8,48.8,51.7,55.6,57.8,76.7
Wallowa County,OR ,Mod-High,97.8,58.7,61.6,66,68.1,84
Wasco County,OR ,High,97.8,65,69.3,74,75.5,89.6
Washington County,OR ,Low-Mod,97.8,75.6,80.2,83.7,83.9,90.4
Wheeler County,OR ,Low-Mod,97.8,54.3,56.3,59,60.3,74.2
Yamhill County,OR ,Mod-High,97.8,62.7,66.4,70.5,72,89.4
Adams County,PA ,Low,94.7,55,57.8,61.4,63.4,84.2
Allegheny County,PA ,Low-Mod,94.7,68.9,72.7,75.5,76.6,86.3
Armstrong County,PA ,Low,94.7,59.5,62.5,66.6,69.1,92.1
Beaver County,PA ,Low,94.7,50.9,53.6,56.6,57.9,55.8
Bedford County,PA ,Low-Mod,94.7,38.6,40.6,43.5,46,66.5
Berks County,PA ,Mod-High,94.7,59.7,63.3,67.5,69.2,85.6
Blair County,PA ,Low-Mod,94.7,51.9,54.7,58.5,60.7,81.7
Bradford County,PA ,Low-Mod,94.7,42.4,44.9,48.6,50.7,66.1
Bucks County,PA ,Low,94.7,71.3,74.9,78.3,79.1,90.8
Butler County,PA ,Low,94.7,63.7,67,70.3,71.9,91.4
Cambria County,PA ,Low-Mod,94.7,55.6,58.5,62.1,64.4,84.1
Cameron County,PA ,Low-Mod,94.7,54.6,57.3,61.4,63.3,80.7
Carbon County,PA ,Low-Mod,94.7,60,63,66.7,68.7,84.4
Centre County,PA ,Low-Mod,94.7,59.2,61.5,63,63.3,90
Chester County,PA ,Low,94.7,76.7,81.1,84.6,85.5,95
Clarion County,PA ,Low-Mod,94.7,43.5,45.9,49,50.9,79.2
Clearfield County,PA ,Mod-High,94.7,49.5,51.9,55.1,57.5,77.9
Clinton County,PA ,Low-Mod,94.7,44.3,46.7,49.9,52.1,73.9
Columbia County,PA ,Low-Mod,94.7,61.3,64,67.2,68.5,91.8
Crawford County,PA ,Mod-High,94.7,48.7,51.6,55.1,57.4,78.1
Cumberland County,PA ,Low,94.7,68.5,72.4,75.8,77.3,94.4
Dauphin County,PA ,Low-Mod,94.7,62.3,66.4,70.8,72.7,87.3
Delaware County,PA ,Low-Mod,94.7,73.4,77.9,81.2,81.8,95
Elk County,PA ,Low,94.7,55.5,58.3,62.3,65,85.5
Erie County,PA ,Mod-High,94.7,58.7,62.2,65.8,67.5,82
Fayette County,PA ,Mod-High,94.7,56.5,59.5,63.3,65.8,86.9
Forest County,PA ,Mod-High,94.7,71.4,72.7,74.8,78.6,80.3
Franklin County,PA ,Low-Mod,94.7,48.8,51.9,55.7,57.8,78.9
Fulton County,PA ,Low,94.7,35.7,37.6,40.4,42.7,62.9
Greene County,PA ,Low-Mod,94.7,49.9,52.7,56.4,58.9,80.9
Huntingdon County,PA ,Low-Mod,94.7,50.7,53,56.4,59,76.4
Indiana County,PA ,Mod-High,94.7,45.3,47.4,50.3,52.1,78.2
Jefferson County,PA ,Low-Mod,94.7,48.1,50.9,55.1,58.1,84.4
Juniata County,PA ,Low-Mod,94.7,40.3,42.8,46.3,49.2,74.1
Lackawanna County,PA ,Mod-High,94.7,69.4,73.3,77.1,78.3,89.7
Lancaster County,PA ,Low-Mod,94.7,58.7,62.8,67.4,69.9,91.2
Lawrence County,PA ,Low-Mod,94.7,53.5,56.5,60.1,62.4,78.1
Lebanon County,PA ,Mod-High,94.7,55.4,58.8,63.2,65.5,82.5
Lehigh County,PA ,Mod-High,94.7,71.9,76.5,81.3,83.4,95
Luzerne County,PA ,Mod-High,94.7,63.5,67,70.8,72.1,84.8
Lycoming County,PA ,Low-Mod,94.7,51.9,54.8,58.7,61.1,83.8
McKean County,PA ,Mod-High,94.7,48.9,51.3,54.8,56.7,71.5
Mercer County,PA ,Mod-High,94.7,52.8,55.5,58.8,61.3,83.1
Mifflin County,PA ,Low-Mod,94.7,49.5,52.7,57.2,60.4,81
Monroe County,PA ,Low-Mod,94.7,58.9,61.8,65.2,66.7,82.6
Montgomery County,PA ,Low,94.7,75.4,79.7,82.7,83.1,93.4
Montour County,PA ,Low-Mod,94.7,78,82.8,86.6,88.4,95
Northampton County,PA ,Low-Mod,94.7,67.4,70.8,74.7,76.2,91.8
Northumberland County,PA ,Mod-High,94.7,57.3,60.4,64.4,66.8,82.6
Perry County,PA ,Low,94.7,48.3,51.2,55.1,57.7,82.2
Philadelphia County,PA ,High,94.7,68.1,72.8,77.3,78.5,90.5
Pike County,PA ,Low,94.7,57.3,59.6,62.4,63.7,76.2
Potter County,PA ,Low-Mod,94.7,37.1,39.1,41.8,43.7,57.6
Schuylkill County,PA ,Low-Mod,94.7,59.8,62.8,66.8,69.3,86.9
Snyder County,PA ,Low,94.7,43,45.5,48.4,50.6,72.6
Somerset County,PA ,Low-Mod,94.7,47.9,50.2,53.3,55.5,74.3
Sullivan County,PA ,Low-Mod,94.7,53.2,54.7,56.1,57.3,81.2
Susquehanna County,PA ,Low,94.7,46.1,48.3,51.1,52.6,67.1
Tioga County,PA ,Low-Mod,94.7,45.9,48.4,51.5,53.1,74.5
Union County,PA ,Low-Mod,94.7,57,59.7,62.3,63.8,82.7
Venango County,PA ,Low-Mod,94.7,45.3,47.6,50.6,52.4,67.4
Warren County,PA ,Low,94.7,48.9,51.7,54.9,56.7,74.8
Washington County,PA ,Low,94.7,63.3,66.6,70,71.6,88.8
Wayne County,PA ,Low-Mod,94.7,60.2,62.7,65.5,66.7,76.9
Westmoreland County,PA ,Low,94.7,57.2,59.9,63.2,64.9,80.8
Wyoming County,PA ,Low,94.7,59.4,62.5,66.1,68,86.4
York County,PA ,Low-Mod,94.7,58.4,61.9,66.2,68.3,89
Adjuntas Muni,PR ,High,95.9,75.9,78.8,80,80.1,80.9
Aguada Muni,PR ,Low,95.9,75.2,77.8,80.7,79.3,77.3
Aguadilla Muni,PR ,Mod-High,95.9,79.4,82.4,85.8,85.7,83.6
Aguas Buenas Muni,PR ,Mod-High,95.9,74.1,76.6,78.6,77.9,77.4
Aibonito Muni,PR ,Low-Mod,95.9,91.2,94.9,95,95,92.4
Añasco Muni,PR ,Low,95.9,76,78.5,80.8,79.5,83.9
Arecibo Muni,PR ,Low-Mod,95.9,95,95,95,95,95
Arroyo Muni,PR ,High,95.9,74,76.8,78.8,80.6,85
Barceloneta Muni,PR ,Low-Mod,95.9,72.6,75.5,76.9,77.4,78.1
Barranquitas Muni,PR ,High,95.9,78.3,82.3,81,83.2,82.9
Bayamón Muni,PR ,Low,95.9,88.4,91.8,94.4,93.5,89
Cabo Rojo Muni,PR ,Mod-High,95.9,73,75.2,77.6,76.5,79.3
Caguas Muni,PR ,Low,95.9,80.6,83.5,85.7,85.4,86.2
Camuy Muni,PR ,Low,95.9,78.3,81.2,83.2,82.5,84
Canóvanas Muni,PR ,Low-Mod,95.9,74.4,77.3,79.6,80.5,83.4
Carolina Muni,PR ,Low,95.9,79.4,82.3,84.7,84.1,80.6
Cataño Muni,PR ,High,95.9,72.3,75,76.7,76.7,72.1
Cayey Muni,PR ,Low-Mod,95.9,81.7,84.7,86.1,85,87.9
Ceiba Muni,PR ,Low-Mod,95.9,74.5,77,80,78.9,74.3
Ciales Muni,PR ,High,95.9,84.6,88.1,88.6,88.2,85.3
Cidra Muni,PR ,Low-Mod,95.9,76.9,80.1,80.9,81,79.5
Coamo Muni,PR ,Low-Mod,95.9,72.1,74.7,75.7,75.5,85.5
Comerío Muni,PR ,High,95.9,72.8,75.6,76.1,76.4,78.6
Corozal Muni,PR ,High,95.9,79,82.3,82.7,83,82.8
Culebra Muni,PR ,Low,95.9,95,95,95,95,92.8
Dorado Muni,PR ,Low,95.9,75.9,78.9,80.2,81,84.3
Fajardo Muni,PR ,Mod-High,95.9,77.1,80.3,82.1,82.4,78.5
Florida Muni,PR ,Low,95.9,86.1,89.7,91.1,92.1,95
Guánica Muni,PR ,High,95.9,72.3,75.5,76.5,76.8,76.5
Guayama Muni,PR ,Mod-High,95.9,71.2,73.9,75.4,75.7,82.3
Guayanilla Muni,PR ,High,95.9,81.7,85.1,85.9,86.2,88.1
Guaynabo Muni,PR ,Low,95.9,89.5,92.5,95,94,88.7
Gurabo Muni,PR ,Low,95.9,65.9,68.1,70.4,71.2,85
Hatillo Muni,PR ,Low,95.9,69.7,72,74,73.1,74.3
Hormigueros Muni,PR ,Mod-High,95.9,80.3,82.6,85.8,83.8,77.4
Humacao Muni,PR ,Low,95.9,80.8,83.9,85.2,84.2,81.5
Isabela Muni,PR ,Low-Mod,95.9,74.2,76.7,79.3,78.3,83
Jayuya Muni,PR ,High,95.9,79.3,83.1,85.1,86.8,95
Juana Díaz Muni,PR ,Low-Mod,95.9,75.2,78.5,79.1,80.6,82.9
Juncos Muni,PR ,Mod-High,95.9,74.1,77.2,78,78.7,90.5
Lajas Muni,PR ,High,95.9,78.2,81,83.1,81.7,82
Lares Muni,PR ,High,95.9,93.8,95,95,95,95
Las Marías Muni,PR ,Mod-High,95.9,88.4,92.1,92.2,92.4,95
Las Piedras Muni,PR ,Low,95.9,72.4,75.1,76.4,76.1,77.1
Loíza Muni,PR ,High,95.9,57.4,59.5,61.1,61.2,60.7
Luquillo Muni,PR ,Low-Mod,95.9,69,71.4,74.3,73.9,73.6
Manatí Muni,PR ,Mod-High,95.9,78.9,82.1,83.9,84.2,82
Maricao Muni,PR ,High,95.9,70.7,73.4,73.6,72.7,68.9
Maunabo Muni,PR ,Mod-High,95.9,75,77.5,79.5,79,81.2
Mayagüez Muni,PR ,High,95.9,80.3,83.2,85.3,83.9,88.2
Moca Muni,PR ,High,95.9,78.5,81.6,83.5,83.7,89.5
Morovis Muni,PR ,Mod-High,95.9,72.2,75.1,75.7,75.6,78.2
Naguabo Muni,PR ,Low-Mod,95.9,63.4,65.9,67.1,69,76.1
Naranjito Muni,PR ,Mod-High,95.9,81.2,84.8,85.1,85.3,81.5
Orocovis Muni,PR ,High,95.9,83.8,87.8,87.2,88.3,88
Patillas Muni,PR ,Low-Mod,95.9,79.1,81.6,84.7,83.8,84.5
Peñuelas Muni,PR ,Mod-High,95.9,81.5,85.7,85.2,87,94.1
Ponce Muni,PR ,Mod-High,95.9,85.6,89.2,90.9,90.9,91.3
Quebradillas Muni,PR ,Low-Mod,95.9,83.2,86.3,88.2,87.9,84
Rincón Muni,PR ,Low,95.9,76,78.4,81.6,79.4,75.8
Río Grande Muni,PR ,Mod-High,95.9,70.7,73.2,75.7,74.8,75.9
Sabana Grande Muni,PR ,Mod-High,95.9,84.2,87.5,89.1,89.1,92.1
Salinas Muni,PR ,High,95.9,74.4,77.5,78.6,80.5,85.3
San Germán Muni,PR ,Low-Mod,95.9,77.8,80.9,82.2,82.2,79.8
San Juan Muni,PR ,Low,95.9,73.5,76.4,78.5,78.6,74.5
San Lorenzo Muni,PR ,Low-Mod,95.9,76.8,79.6,81.5,80.7,81.7
San Sebastián Muni,PR ,High,95.9,87.2,90.3,92.6,91.6,93.5
Santa Isabel Muni,PR ,Low-Mod,95.9,71.9,74.8,75.8,76.2,84
Toa Alta Muni,PR ,Low,95.9,67.8,70.2,72.5,72.9,80.2
Toa Baja Muni,PR ,Low,95.9,76,78.9,81.4,81.6,84.6
Trujillo Alto Muni,PR ,Low,95.9,49.4,51.1,52.8,54.2,63.9
Utuado Muni,PR ,Low-Mod,95.9,73.6,76.3,78.5,78.2,79.6
Vega Alta Muni,PR ,Mod-High,95.9,66.5,69.1,70.4,71.3,73.3
Vega Baja Muni,PR ,Low-Mod,95.9,81.2,84.6,86.4,86,82.7
Vieques Muni,PR ,Low,95.9,79.8,83.1,84.5,85.2,80.7
Villalba Muni,PR ,High,95.9,90.6,94.8,94.6,95,95
Yabucoa Muni,PR ,Mod-High,95.9,75.5,78.1,80.5,79.6,81.5
Yauco Muni,PR ,Mod-High,95.9,85.3,88.4,90.2,88.8,87.6
Bristol County,RI ,Low,89.6,78.2,81.5,83.5,83.6,95
Kent County,RI ,Low,89.6,77.8,81.8,84.9,85.8,95
Newport County,RI ,Low,89.6,74.1,77.5,79.9,79.9,84.8
Providence County,RI ,High,89.6,69.8,74,77.8,78.7,93.2
Washington County,RI ,Low,89.6,77.5,80.4,82.5,82.9,95
Abbeville County,SC ,High,93.1,39.8,41.8,44.8,47,65.2
Aiken County,SC ,Mod-High,93.1,45.4,48.1,51.5,53.4,70.2
Allendale County,SC ,High,93.1,57.8,60.8,64.5,66.7,77.2
Anderson County,SC ,Mod-High,93.1,40.2,42.7,46.3,48.4,71.1
Bamberg County,SC ,High,93.1,50.8,53.2,56.9,58.7,72.8
Barnwell County,SC ,High,93.1,55.6,59,64.2,67,80.6
Beaufort County,SC ,Low-Mod,93.1,64.3,67.7,71.9,73.3,83.4
Berkeley County,SC ,Mod-High,93.1,51.7,55.2,59.6,61.1,79.2
Calhoun County,SC ,Mod-High,93.1,40.6,42.6,45.2,46.1,54.9
Charleston County,SC ,Low-Mod,93.1,65.1,69,72.2,73.1,88.3
Cherokee County,SC ,Mod-High,93.1,34,36.1,39.5,41.6,63
Chester County,SC ,Mod-High,93.1,45.7,48.5,52.6,55,77.5
Chesterfield County,SC ,High,93.1,36.6,38.7,42,43.9,61.9
Clarendon County,SC ,High,93.1,48.7,51,54.1,55.8,73.8
Colleton County,SC ,High,93.1,48.1,51.3,55.5,57.8,73.9
Darlington County,SC ,High,93.1,48.4,51.3,55.5,58.3,80.6
Dillon County,SC ,High,93.1,44.3,47.4,52.2,55.4,78.4
Dorchester County,SC ,Low-Mod,93.1,53,56.3,60.6,61.9,86.1
Edgefield County,SC ,High,93.1,59.4,61.8,65.4,67.5,82.5
Fairfield County,SC ,Mod-High,93.1,63.9,67.1,71.2,71.9,84.9
Florence County,SC ,High,93.1,54.5,58,62.8,65.3,88.2
Georgetown County,SC ,Mod-High,93.1,54.1,56.5,59.9,61.6,75.3
Greenville County,SC ,Mod-High,93.1,55,58.6,62.8,64.6,84.9
Greenwood County,SC ,High,93.1,47.8,50.8,55.4,57.7,83.8
Hampton County,SC ,High,93.1,63.7,67.2,72.2,74.3,95
Horry County,SC ,Mod-High,93.1,56.1,58.7,62.2,64,87
Jasper County,SC ,High,93.1,37,39.3,41.8,42.8,51.4
Kershaw County,SC ,Low-Mod,93.1,58.2,61.8,66.6,68.2,85.9
Lancaster County,SC ,Mod-High,93.1,45.2,48,51.4,53,69.9
Laurens County,SC ,High,93.1,38.3,40.7,44.2,46.3,71.1
Lee County,SC ,High,93.1,47.5,50,53.3,54.8,78.1
Lexington County,SC ,Low-Mod,93.1,55.2,58.5,62.8,64.4,85.2
Marion County,SC ,High,93.1,48.5,51.4,55.4,57.4,73.4
Marlboro County,SC ,High,93.1,43.4,45.8,49.3,51,67.2
McCormick County,SC ,Mod-High,93.1,58.3,59.9,62.3,63.3,87.3
Newberry County,SC ,High,93.1,52.1,55.2,59.7,61.5,85.7
Oconee County,SC ,Mod-High,93.1,44.8,47,50.5,52.7,76.8
Orangeburg County,SC ,High,93.1,55.3,58.5,63.1,65.1,84
Pickens County,SC ,Mod-High,93.1,46.3,48.7,51.7,53,84.5
Richland County,SC ,Mod-High,93.1,58.5,62,65.8,66.7,89.8
Saluda County,SC ,High,93.1,30.1,31.9,34.6,36.1,42.4
Spartanburg County,SC ,High,93.1,43.5,46.3,50.2,52.3,75.1
Sumter County,SC ,High,93.1,56.5,60.5,65.9,68.3,85.8
Union County,SC ,High,93.1,41.4,43.9,47.5,50,73.9
Williamsburg County,SC ,High,93.1,56.8,59.9,64,66.5,78.5
York County,SC ,Low-Mod,93.1,48.9,51.9,55.4,56.4,73.3
Aurora County,SD ,Low-Mod,96.7,54.1,57.6,62.5,65.7,82.1
Beadle County,SD ,Mod-High,96.7,48.6,53.1,58.4,61.5,82
Bennett County,SD ,High,96.7,56.8,62.6,69.2,71.1,79.6
Bon Homme County,SD ,Low,96.7,57.2,60.5,64.2,67.2,94.4
Brookings County,SD ,Low,96.7,51.5,54.9,57.7,58.3,86.6
Brown County,SD ,Low-Mod,96.7,56.1,60,64.4,66.8,86
Brule County,SD ,Mod-High,96.7,54.8,58.7,64,67.1,85.3
Buffalo County,SD ,High,96.7,60.7,68.4,74.8,75.4,79.7
Butte County,SD ,Low-Mod,96.7,39.5,42.4,46.6,49.8,76.2
Campbell County,SD ,Low,96.7,46.6,49.1,52.2,55,71
Charles Mix County,SD ,Mod-High,96.7,53.6,58.7,65.2,68.5,83.9
Clark County,SD ,Low,96.7,49.9,55.7,62.1,65.3,78.9
Clay County,SD ,Low,96.7,67.5,71.1,73.1,72.8,95
Codington County,SD ,Low,96.7,54.2,57.7,62.7,66.1,87.9
Corson County,SD ,High,96.7,50.8,56.7,59.9,59.3,64.7
Custer County,SD ,Low,96.7,50.2,52.1,54.2,56.3,70.7
Davison County,SD ,Low,96.7,60.6,64.6,68.8,70.5,87.8
Day County,SD ,Low,96.7,64.7,68.3,73.1,74.8,90.9
Deuel County,SD ,Low,96.7,46.1,49.1,53.7,56.7,79.5
Dewey County,SD ,High,96.7,72.8,83.1,91.2,92.7,95
Douglas County,SD ,Low,96.7,51.5,55.8,61.4,66.9,90.6
Edmunds County,SD ,Low,96.7,45.6,48.6,52.8,55.5,81.3
Fall River County,SD ,Low-Mod,96.7,61.6,64,68.1,71.6,95
Faulk County,SD ,Low,96.7,54.6,59.5,65.3,68.4,87.3
Grant County,SD ,Low,96.7,48.4,51.7,55.7,57.7,78
Gregory County,SD ,Low-Mod,96.7,49.9,53.2,57.3,60.5,81.7
Haakon County,SD ,Low-Mod,96.7,41.5,44.3,48.5,52.1,77.5
Hamlin County,SD ,Low,96.7,46.3,51.1,57.4,62.7,88.1
Hand County,SD ,Low,96.7,48.5,51.4,55.8,58.1,76.4
Hanson County,SD ,Low,96.7,42.5,46,51.5,55.7,94.8
Harding County,SD ,Low,96.7,18.8,20.3,22.4,24.4,49.6
Hughes County,SD ,Low-Mod,96.7,70.9,76,82,84.7,95
Hutchinson County,SD ,Low,96.7,53.4,58.4,63.9,66.9,89.6
Hyde County,SD ,Low,96.7,53.8,57.4,61.1,64.4,86.2
Jackson County,SD ,High,96.7,47.8,53.8,60.4,61.8,77.2
Jerauld County,SD ,Low,96.7,51.5,54.8,59.3,62.2,74.8
Jones County,SD ,Low,96.7,72.5,77.2,82.4,82.1,95
Kingsbury County,SD ,Low,96.7,66.5,71.6,77.9,81.7,95
Lake County,SD ,Low,96.7,49.7,52.6,55.8,57.3,65.1
Lawrence County,SD ,Low-Mod,96.7,56.6,59.1,62.8,64.3,85.7
Lincoln County,SD ,Low,96.7,58.1,62.6,67.6,69.7,80.7
Lyman County,SD ,Mod-High,96.7,64.4,70.5,74.9,76.4,85.5
Marshall County,SD ,Low,96.7,51.8,56.4,60.8,63.1,85.6
McCook County,SD ,Low,96.7,56.9,61.9,67.7,71.7,95
McPherson County,SD ,Low-Mod,96.7,40.1,42.6,47.2,50.4,66.5
Meade County,SD ,Low,96.7,53.5,56.6,61.6,64.1,82.5
Mellette County,SD ,High,96.7,35,39.2,42.8,44.3,47.9
Miner County,SD ,Low,96.7,54.3,58.2,63.1,67.2,95
Minnehaha County,SD ,Low-Mod,96.7,65.7,71,76.2,78.3,95
Moody County,SD ,Low-Mod,96.7,48.8,52.5,57.1,59.7,71.4
Oglala Lakota County,SD ,High,96.7,75.6,83.9,91,88.9,87.4
Pennington County,SD ,Low-Mod,96.7,57.1,61,65.5,67.2,88.1
Perkins County,SD ,Low,96.7,32.1,34.1,37.3,39.8,58.7
Potter County,SD ,Low,96.7,60.6,63.7,67.9,71.8,87.1
Roberts County,SD ,Mod-High,96.7,72.8,79.8,85.7,87.3,88.3
Sanborn County,SD ,Low,96.7,54.9,59.3,64.3,67.7,92.6
Spink County,SD ,Low,96.7,51.8,55.3,59.4,62.7,83.3
Stanley County,SD ,Low,96.7,58.5,62.9,67.9,72,91
Sully County,SD ,Low,96.7,44.4,46.8,50.4,52.7,58.1
Todd County,SD ,High,96.7,67,76,82,83.5,87.5
Tripp County,SD ,Low-Mod,96.7,44.3,47.9,51.9,55.6,73.1
Turner County,SD ,Low,96.7,52.9,56.4,61.1,63.9,84.8
Union County,SD ,Low,96.7,51,54.3,58.6,61.1,76.4
Walworth County,SD ,Low-Mod,96.7,48.3,52.1,55.9,58.9,81.2
Yankton County,SD ,Low-Mod,96.7,63.6,67.6,71.7,73.5,92.5
Ziebach County,SD ,High,96.7,32.9,34.8,35.3,35.8,52.7
Anderson County,TN ,Mod-High,97.8,55.5,58.7,62.9,65.4,84.2
Bedford County,TN ,High,97.8,42.5,45.6,50.1,53,79.2
Benton County,TN ,Mod-High,97.8,44,46.4,50.4,52.8,74.8
Bledsoe County,TN ,High,97.8,36.6,38,39.8,41.1,67.3
Blount County,TN ,Low,97.8,51.9,54.6,58.2,60.5,81.6
Bradley County,TN ,Mod-High,97.8,41.4,44,47.5,50,71.9
Campbell County,TN ,Mod-High,97.8,43.2,45.7,49.3,51.9,72.4
Cannon County,TN ,Low-Mod,97.8,32,34,37.1,39.3,58
Carroll County,TN ,Mod-High,97.8,48.1,50.9,55.7,59,86.8
Carter County,TN ,Mod-High,97.8,40.1,41.9,44.7,46.3,65
Cheatham County,TN ,Low,97.8,58.3,61.8,66.4,68.5,89.3
Chester County,TN ,Mod-High,97.8,35.5,37.5,40.7,42.7,65.6
Claiborne County,TN ,Mod-High,97.8,43.5,45.9,49.3,52.1,75.5
Clay County,TN ,Mod-High,97.8,28.7,30.1,32.6,34.7,49.6
Cocke County,TN ,Mod-High,97.8,49.3,52,56.2,59.1,80.9
Coffee County,TN ,Low-Mod,97.8,45.8,49,53.7,57.1,86.8
Crockett County,TN ,High,97.8,48,51,56,59.4,79.7
Cumberland County,TN ,Mod-High,97.8,46.5,48.6,52,54.2,78.2
Davidson County,TN ,Mod-High,97.8,64.5,69,73,74.2,88.9
Decatur County,TN ,Mod-High,97.8,37.7,39.8,43.1,45.8,63.5
DeKalb County,TN ,Low-Mod,97.8,41,43.4,47.3,50.2,73.9
Dickson County,TN ,Low-Mod,97.8,48.3,51.3,55.7,58.4,82.5
Dyer County,TN ,High,97.8,39.8,42.5,46.6,49.5,70.5
Fayette County,TN ,Low-Mod,97.8,56.5,59.4,63.2,64.7,80.5
Fentress County,TN ,Mod-High,97.8,33.7,35.6,38.5,41.1,64.4
Franklin County,TN ,Low-Mod,97.8,40.9,43.1,46.2,48.8,74.5
Gibson County,TN ,Mod-High,97.8,45,48,52.9,56.7,86.3
Giles County,TN ,Mod-High,97.8,39,41.3,44.7,47.3,71.2
Grainger County,TN ,Mod-High,97.8,48.7,51.2,55.2,58.5,81.9
Greene County,TN ,Mod-High,97.8,46,48.3,51.7,53.8,76.5
Grundy County,TN ,High,97.8,30.3,32.1,34.8,37.2,53
Hamblen County,TN ,High,97.8,42.4,45.1,49.2,51.7,70.5
Hamilton County,TN ,Low-Mod,97.8,55.9,59.4,63.2,64.6,81.5
Hancock County,TN ,High,97.8,32.3,34.2,37.1,39.5,52.6
Hardeman County,TN ,High,97.8,45.9,48.3,51.6,53.3,76.9
Hardin County,TN ,Mod-High,97.8,40.3,42.5,45.9,48.6,66.6
Hawkins County,TN ,Mod-High,97.8,44.1,46.3,49.8,52.3,72.8
Haywood County,TN ,High,97.8,51.8,54.8,59.6,62.7,80.6
Henderson County,TN ,Mod-High,97.8,41.1,43.6,47.8,50.8,76
Henry County,TN ,Mod-High,97.8,46.4,48.9,52.9,55.7,77.8
Hickman County,TN ,Mod-High,97.8,42.2,44.6,48.2,50.9,78.4
Houston County,TN ,Mod-High,97.8,43.1,45.4,49.3,52.2,73.7
Humphreys County,TN ,Low-Mod,97.8,41.1,43.6,47.3,50.1,75.4
Jackson County,TN ,Mod-High,97.8,34.5,36.2,38.7,40.6,58.1
Jefferson County,TN ,Mod-High,97.8,49.8,52.3,56,58.1,83.2
Johnson County,TN ,Mod-High,97.8,36.9,38.6,41,42.7,62.5
Knox County,TN ,Low-Mod,97.8,59.7,63.3,67.3,69.3,90.4
Lake County,TN ,High,97.8,34.8,36.3,38.2,39.3,69.6
Lauderdale County,TN ,High,97.8,37.2,39.5,43,46,73.4
Lawrence County,TN ,High,97.8,36.4,39,43.2,46.1,72.4
Lewis County,TN ,Mod-High,97.8,35.3,37.5,40.8,43.6,64.4
Lincoln County,TN ,Mod-High,97.8,41.2,43.6,47.5,50.8,80.8
Loudon County,TN ,Low-Mod,97.8,63.3,66.6,71.6,74.8,95
Macon County,TN ,Mod-High,97.8,31.6,34,37.6,40.5,66.1
Madison County,TN ,Mod-High,97.8,54,57.6,62.2,64.4,86.7
Marion County,TN ,Mod-High,97.8,45.7,48.5,52.3,54.9,77.6
Marshall County,TN ,Mod-High,97.8,42.3,45.1,49.3,52.3,78.3
Maury County,TN ,Low-Mod,97.8,63.7,68.2,73.5,75.9,95
McMinn County,TN ,Mod-High,97.8,39.8,42.2,45.6,48.2,71.3
McNairy County,TN ,Mod-High,97.8,47,49.6,54,57.8,85.3
Meigs County,TN ,Low-Mod,97.8,67.9,71.6,77.2,81.3,95
Monroe County,TN ,Mod-High,97.8,43.1,45.5,49.3,52.5,75.8
Montgomery County,TN ,Mod-High,97.8,60.1,65.4,72.3,75,91.4
Moore County,TN ,Low,97.8,21.7,22.7,24.4,25.9,39.8
Morgan County,TN ,Mod-High,97.8,51.3,54,57.7,60.9,92.4
Obion County,TN ,High,97.8,40.7,43.2,47.1,50.1,74.7
Overton County,TN ,Low-Mod,97.8,35.3,37.2,40.4,43.2,66.8
Perry County,TN ,Mod-High,97.8,40.8,43.6,47.7,50.1,73.1
Pickett County,TN ,Low-Mod,97.8,43.9,45.7,48.3,51.1,68.8
Polk County,TN ,Low-Mod,97.8,41,43.1,46.2,49,72
Putnam County,TN ,Mod-High,97.8,50.6,53.7,57.9,60.4,92.4
Rhea County,TN ,High,97.8,42.7,45.4,49.3,52.9,79.4
Roane County,TN ,Low-Mod,97.8,44.2,46.3,49.5,51.8,67.3
Robertson County,TN ,Low-Mod,97.8,51.7,55.1,60,63.1,85.9
Rutherford County,TN ,Low-Mod,97.8,53.7,57.4,61.9,63.8,89.6
Scott County,TN ,High,97.8,36.2,38.6,42.4,45.7,68
Sequatchie County,TN ,Mod-High,97.8,34.6,36.6,39.4,41.6,61.7
Sevier County,TN ,Mod-High,97.8,49.9,52.8,56.8,59.3,78.8
